"book review","The book review was really good. – I'm definitely going to read it.","Buchrezension"
"fence","They built a fence around their garden so the dog can't escape.","Zaun"
"innocent","During the war many innocent people were killed.","unschuldig"
"disappointment","That new restaurant was a big disappointment. The food was awful.","Enttäuschung"
"prefer","I prefer jazz to rock music.","bevorzugen"
"blurb","Before I buy a book, I always read the blurb on the cover first.","Werbetext auf Buchumschlag, Klappentext"
"millionaire","She won the lottery. Now she's a millionaire.","Millionär/in"
"fairy","The good fairy gave me three wishes.","Fee"
"historical novel","Historical novels are books about the past.","historischer Roman"
"reference","There are a lot of references to famous songs in the book.","Bezug, Hinweis"
"trilogy","Have you read the last book of the trilogy?","Trilogie"
"answer the door","There is someone at the door. Can you answer it, please?","an die Tür gehen, jemanden hereinlassen"
"clean up","Clean up your own mess!","aufräumen"
"goggles","Tom always wears goggles when he swims.","Schwimmbrille, Schutzbrille"
"kilt","He's Scottish, so he's wearing a kilt to his wedding.","Kilt, Schottenrock"
"sort oneself out","John took a week off work to sort himself out.","sich ordnen, zu sich (selbst) finden"
"spot of bother","He's in a spot of bother with the police.","Problem, Ärger"
"wee","She's playing on the field with her wee brother.","klein, winzig"
"obey","His dog has learned to obey several commands.","befolgen, gehorchen"
"scratch","That cat just scratched my arm.","kratzen"
